nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.03, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu_cm=0.5, model_path='save/Cifar-10-DPFL-ResNet18-adam3', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0008, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=8)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Norm:  tensor(3.2398, device='cuda:2')
Round:  0 User: 101 Train Loss: 7.030
Norm:  tensor(3.2062, device='cuda:2')
Round:  0 User: 102 Train Loss: 7.027
Norm:  tensor(3.1217, device='cuda:2')
Round:  0 User: 103 Train Loss: 7.002
Norm:  tensor(3.1672, device='cuda:2')
Round:  0 User: 104 Train Loss: 7.060
Norm:  tensor(3.2507, device='cuda:2')
Round:  0 User: 105 Train Loss: 6.997
Norm:  tensor(3.3640, device='cuda:2')
Round:  0 User: 106 Train Loss: 6.982
Norm:  tensor(3.1765, device='cuda:2')
Round:  0 User: 107 Train Loss: 7.034
Norm:  tensor(3.0057, device='cuda:2')
Round:  0 User: 108 Train Loss: 7.126
Norm:  tensor(3.2739, device='cuda:2')
Round:  0 User: 109 Train Loss: 6.888
Norm:  tensor(3.1407, device='cuda:2')
Round:  0 User: 110 Train Loss: 6.947
Norm:  tensor(3.1280, device='cuda:2')
Round:  0 User: 111 Train Loss: 6.979
Norm:  tensor(3.1812, device='cuda:2')
Round:  0 User: 112 Train Loss: 6.949
Norm:  tensor(3.3292, device='cuda:2')
Round:  0 User: 113 Train Loss: 6.996
Norm:  tensor(3.1773, device='cuda:2')
Round:  0 User: 114 Train Loss: 6.968
Norm:  tensor(3.2151, device='cuda:2')
Round:  0 User: 115 Train Loss: 7.000
Norm:  tensor(3.1416, device='cuda:2')
Round:  0 User: 116 Train Loss: 7.138
Norm:  tensor(3.2806, device='cuda:2')
Round:  0 User: 117 Train Loss: 6.914
Norm:  tensor(3.2766, device='cuda:2')
Round:  0 User: 118 Train Loss: 7.032
Norm:  tensor(3.2888, device='cuda:2')
Round:  0 User: 119 Train Loss: 6.963
Norm:  tensor(3.2705, device='cuda:2')
Round:  0 User: 120 Train Loss: 6.925
Norm:  tensor(3.2588, device='cuda:2')
Round:  0 User: 121 Train Loss: 6.975
Norm:  tensor(3.1448, device='cuda:2')
Round:  0 User: 122 Train Loss: 7.235
Norm:  tensor(3.0927, device='cuda:2')
Round:  0 User: 123 Train Loss: 7.094
Norm:  tensor(3.1467, device='cuda:2')
Round:  0 User: 124 Train Loss: 7.167
Norm:  tensor(3.2224, device='cuda:2')
Round:  0 User: 125 Train Loss: 7.124
Norm:  tensor(3.0665, device='cuda:2')
Round:  0 User: 126 Train Loss: 7.022
Norm:  tensor(3.1734, device='cuda:2')
Round:  0 User: 127 Train Loss: 7.180
Norm:  tensor(3.1858, device='cuda:2')
Round:  0 User: 128 Train Loss: 6.973
Norm:  tensor(3.0700, device='cuda:2')
Round:  0 User: 129 Train Loss: 7.180
Norm:  tensor(3.0694, device='cuda:2')
Round:  0 User: 130 Train Loss: 7.059
Norm:  tensor(3.2431, device='cuda:2')
Round:  0 User: 131 Train Loss: 7.002
Norm:  tensor(3.2776, device='cuda:2')
Round:  0 User: 132 Train Loss: 7.010
Norm:  tensor(3.2037, device='cuda:2')
Round:  0 User: 133 Train Loss: 7.007
Norm:  tensor(3.0843, device='cuda:2')
Round:  0 User: 134 Train Loss: 6.981
Norm:  tensor(3.3424, device='cuda:2')
Round:  0 User: 135 Train Loss: 7.005
Norm:  tensor(3.0374, device='cuda:2')
Round:  0 User: 136 Train Loss: 6.915
Norm:  tensor(3.3800, device='cuda:2')
Round:  0 User: 137 Train Loss: 6.978
Norm:  tensor(3.2147, device='cuda:2')
Round:  0 User: 138 Train Loss: 6.969
Norm:  tensor(3.0564, device='cuda:2')
Round:  0 User: 139 Train Loss: 7.045
Norm:  tensor(3.1517, device='cuda:2')
Round:  0 User: 140 Train Loss: 7.138
Norm:  tensor(3.1565, device='cuda:2')
Round:  0 User: 141 Train Loss: 7.002
Norm:  tensor(3.2188, device='cuda:2')
Round:  0 User: 142 Train Loss: 7.047
Norm:  tensor(3.0990, device='cuda:2')
Round:  0 User: 143 Train Loss: 7.117
Norm:  tensor(3.2897, device='cuda:2')
Round:  0 User: 144 Train Loss: 7.011
Norm:  tensor(3.2292, device='cuda:2')
Round:  0 User: 145 Train Loss: 7.032
Norm:  tensor(3.3399, device='cuda:2')
Round:  0 User: 146 Train Loss: 7.011
Norm:  tensor(3.2430, device='cuda:2')
Round:  0 User: 147 Train Loss: 7.063
Norm:  tensor(3.3331, device='cuda:2')
Round:  0 User: 148 Train Loss: 7.019
Norm:  tensor(3.2097, device='cuda:2')
Round:  0 User: 149 Train Loss: 7.009
Norm:  tensor(3.3354, device='cuda:2')
Round:  0 User: 150 Train Loss: 7.249
Norm:  tensor(3.0374, device='cuda:2')
Round:  0 User: 151 Train Loss: 7.154
Norm:  tensor(2.9994, device='cuda:2')
Round:  0 User: 152 Train Loss: 7.160
Norm:  tensor(3.3885, device='cuda:2')
Round:  0 User: 153 Train Loss: 6.860
Norm:  tensor(3.2562, device='cuda:2')
Round:  0 User: 154 Train Loss: 7.023
Norm:  tensor(3.2259, device='cuda:2')
Round:  0 User: 155 Train Loss: 7.155
Norm:  tensor(3.0374, device='cuda:2')
Round:  0 User: 156 Train Loss: 7.084
Norm:  tensor(3.0807, device='cuda:2')
Round:  0 User: 157 Train Loss: 7.045
Norm:  tensor(3.1414, device='cuda:2')
Round:  0 User: 158 Train Loss: 7.135
Norm:  tensor(3.2800, device='cuda:2')
Round:  0 User: 159 Train Loss: 7.169
Norm:  tensor(3.1042, device='cuda:2')
Round:  0 User: 160 Train Loss: 7.001
Norm:  tensor(3.3046, device='cuda:2')
Round:  0 User: 161 Train Loss: 6.921
Norm:  tensor(3.0981, device='cuda:2')
Round:  0 User: 162 Train Loss: 7.027
Norm:  tensor(3.2762, device='cuda:2')
Round:  0 User: 163 Train Loss: 7.108
Norm:  tensor(3.2887, device='cuda:2')
Round:  0 User: 164 Train Loss: 7.055
Norm:  tensor(3.2439, device='cuda:2')
Round:  0 User: 165 Train Loss: 7.003
Norm:  tensor(3.1449, device='cuda:2')
Round:  0 User: 166 Train Loss: 6.946
Norm:  tensor(3.2827, device='cuda:2')
Round:  0 User: 167 Train Loss: 7.052
Norm:  tensor(3.2850, device='cuda:2')
Round:  0 User: 168 Train Loss: 7.002
Norm:  tensor(3.1090, device='cuda:2')
Round:  0 User: 169 Train Loss: 7.108
Norm:  tensor(3.0165, device='cuda:2')
Round:  0 User: 170 Train Loss: 7.094
Norm:  tensor(3.0895, device='cuda:2')
Round:  0 User: 171 Train Loss: 7.047
Norm:  tensor(3.2938, device='cuda:2')
Round:  0 User: 172 Train Loss: 7.044
Norm:  tensor(3.1680, device='cuda:2')
Round:  0 User: 173 Train Loss: 7.112
Norm:  tensor(3.2043, device='cuda:2')
Round:  0 User: 174 Train Loss: 7.020
Norm:  tensor(3.2374, device='cuda:2')
Round:  0 User: 175 Train Loss: 6.946
Norm:  tensor(3.3050, device='cuda:2')
Round:  0 User: 176 Train Loss: 7.037
Norm:  tensor(3.2334, device='cuda:2')
Round:  0 User: 177 Train Loss: 6.963
Norm:  tensor(3.2048, device='cuda:2')
Round:  0 User: 178 Train Loss: 7.056
Norm:  tensor(3.1711, device='cuda:2')
Round:  0 User: 179 Train Loss: 7.007
Norm:  tensor(3.3520, device='cuda:2')
Round:  0 User: 180 Train Loss: 6.948
Norm:  tensor(3.2078, device='cuda:2')
Round:  0 User: 181 Train Loss: 6.902
Norm:  tensor(3.2936, device='cuda:2')
Round:  0 User: 182 Train Loss: 6.924
Norm:  tensor(3.2107, device='cuda:2')
Round:  0 User: 183 Train Loss: 7.111
Norm:  tensor(3.3254, device='cuda:2')
Round:  0 User: 184 Train Loss: 6.928
Norm:  tensor(3.1217, device='cuda:2')
Round:  0 User: 185 Train Loss: 7.210
Norm:  tensor(3.1921, device='cuda:2')
Round:  0 User: 186 Train Loss: 7.146
Norm:  tensor(3.1203, device='cuda:2')
Round:  0 User: 187 Train Loss: 7.088
Norm:  tensor(3.1877, device='cuda:2')
Round:  0 User: 188 Train Loss: 6.983
Norm:  tensor(3.3352, device='cuda:2')
Round:  0 User: 189 Train Loss: 6.972
Norm:  tensor(3.3019, device='cuda:2')
Round:  0 User: 190 Train Loss: 7.059
Norm:  tensor(3.1848, device='cuda:2')
Round:  0 User: 191 Train Loss: 7.021
Norm:  tensor(3.0555, device='cuda:2')
Round:  0 User: 192 Train Loss: 7.031
Norm:  tensor(3.1308, device='cuda:2')
Round:  0 User: 193 Train Loss: 6.937
Norm:  tensor(3.3216, device='cuda:2')
Round:  0 User: 194 Train Loss: 6.974
Norm:  tensor(3.3103, device='cuda:2')
Round:  0 User: 195 Train Loss: 6.916
Norm:  tensor(3.2441, device='cuda:2')
Round:  0 User: 196 Train Loss: 6.955
Norm:  tensor(3.2264, device='cuda:2')
Round:  0 User: 197 Train Loss: 7.091
Norm:  tensor(3.1756, device='cuda:2')
Round:  0 User: 198 Train Loss: 7.094
