nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu=0.5, model_path='save/Cifar-10-DPFL-ResNet18-fedx', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0006, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=4)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Norm:  tensor(2.8493, device='cuda:2')
Round:  0 User: 101 Train Loss: 9.585
Norm:  tensor(2.7514, device='cuda:2')
Round:  0 User: 102 Train Loss: 9.548
Norm:  tensor(3.0145, device='cuda:2')
Round:  0 User: 103 Train Loss: 9.383
Norm:  tensor(2.8751, device='cuda:2')
Round:  0 User: 104 Train Loss: 9.553
Norm:  tensor(2.9841, device='cuda:2')
Round:  0 User: 105 Train Loss: 9.479
Norm:  tensor(2.8865, device='cuda:2')
Round:  0 User: 106 Train Loss: 9.424
Norm:  tensor(2.9591, device='cuda:2')
Round:  0 User: 107 Train Loss: 9.488
Norm:  tensor(2.9207, device='cuda:2')
Round:  0 User: 108 Train Loss: 9.500
Norm:  tensor(3.1421, device='cuda:2')
Round:  0 User: 109 Train Loss: 9.352
Norm:  tensor(3.0579, device='cuda:2')
Round:  0 User: 110 Train Loss: 9.404
Norm:  tensor(2.9546, device='cuda:2')
Round:  0 User: 111 Train Loss: 9.436
Norm:  tensor(2.7043, device='cuda:2')
Round:  0 User: 112 Train Loss: 9.516
Norm:  tensor(2.8905, device='cuda:2')
Round:  0 User: 113 Train Loss: 9.559
Norm:  tensor(2.9949, device='cuda:2')
Round:  0 User: 114 Train Loss: 9.444
Norm:  tensor(2.8193, device='cuda:2')
Round:  0 User: 115 Train Loss: 9.463
Norm:  tensor(2.7396, device='cuda:2')
Round:  0 User: 116 Train Loss: 9.566
Norm:  tensor(2.9363, device='cuda:2')
Round:  0 User: 117 Train Loss: 9.437
Norm:  tensor(2.7740, device='cuda:2')
Round:  0 User: 118 Train Loss: 9.555
Norm:  tensor(2.8178, device='cuda:2')
Round:  0 User: 119 Train Loss: 9.570
Norm:  tensor(2.9392, device='cuda:2')
Round:  0 User: 120 Train Loss: 9.340
Norm:  tensor(2.9275, device='cuda:2')
Round:  0 User: 121 Train Loss: 9.525
Norm:  tensor(2.9309, device='cuda:2')
Round:  0 User: 122 Train Loss: 9.611
Norm:  tensor(2.7459, device='cuda:2')
Round:  0 User: 123 Train Loss: 9.607
Norm:  tensor(2.8878, device='cuda:2')
Round:  0 User: 124 Train Loss: 9.540
Norm:  tensor(2.9043, device='cuda:2')
Round:  0 User: 125 Train Loss: 9.592
Norm:  tensor(2.9138, device='cuda:2')
Round:  0 User: 126 Train Loss: 9.473
Norm:  tensor(2.8372, device='cuda:2')
Round:  0 User: 127 Train Loss: 9.562
Norm:  tensor(2.8670, device='cuda:2')
Round:  0 User: 128 Train Loss: 9.505
Norm:  tensor(2.7591, device='cuda:2')
Round:  0 User: 129 Train Loss: 9.623
Norm:  tensor(2.8551, device='cuda:2')
Round:  0 User: 130 Train Loss: 9.487
Norm:  tensor(2.9303, device='cuda:2')
Round:  0 User: 131 Train Loss: 9.521
Norm:  tensor(2.9818, device='cuda:2')
Round:  0 User: 132 Train Loss: 9.451
Norm:  tensor(2.8060, device='cuda:2')
Round:  0 User: 133 Train Loss: 9.425
Norm:  tensor(3.0138, device='cuda:2')
Round:  0 User: 134 Train Loss: 9.408
Norm:  tensor(2.7754, device='cuda:2')
Round:  0 User: 135 Train Loss: 9.517
Norm:  tensor(2.8268, device='cuda:2')
Round:  0 User: 136 Train Loss: 9.522
Norm:  tensor(2.7750, device='cuda:2')
Round:  0 User: 137 Train Loss: 9.612
Norm:  tensor(2.8433, device='cuda:2')
Round:  0 User: 138 Train Loss: 9.387
Norm:  tensor(2.8843, device='cuda:2')
Round:  0 User: 139 Train Loss: 9.489
Norm:  tensor(2.8819, device='cuda:2')
Round:  0 User: 140 Train Loss: 9.779
Norm:  tensor(2.8088, device='cuda:2')
Round:  0 User: 141 Train Loss: 9.425
Norm:  tensor(2.7443, device='cuda:2')
Round:  0 User: 142 Train Loss: 9.489
Norm:  tensor(2.7760, device='cuda:2')
Round:  0 User: 143 Train Loss: 9.545
Norm:  tensor(3.0878, device='cuda:2')
Round:  0 User: 144 Train Loss: 9.245
Norm:  tensor(2.7751, device='cuda:2')
Round:  0 User: 145 Train Loss: 9.666
Norm:  tensor(2.8605, device='cuda:2')
Round:  0 User: 146 Train Loss: 9.526
Norm:  tensor(2.8558, device='cuda:2')
Round:  0 User: 147 Train Loss: 9.614
Norm:  tensor(3.0251, device='cuda:2')
Round:  0 User: 148 Train Loss: 9.445
Norm:  tensor(2.7724, device='cuda:2')
Round:  0 User: 149 Train Loss: 9.560
Norm:  tensor(3.0638, device='cuda:2')
Round:  0 User: 150 Train Loss: 9.562
Norm:  tensor(2.8662, device='cuda:2')
Round:  0 User: 151 Train Loss: 9.783
Norm:  tensor(2.9273, device='cuda:2')
Round:  0 User: 152 Train Loss: 9.586
Norm:  tensor(2.8874, device='cuda:2')
Round:  0 User: 153 Train Loss: 9.430
Norm:  tensor(3.0098, device='cuda:2')
Round:  0 User: 154 Train Loss: 9.415
Norm:  tensor(2.7284, device='cuda:2')
Round:  0 User: 155 Train Loss: 9.756
Norm:  tensor(2.8209, device='cuda:2')
Round:  0 User: 156 Train Loss: 9.521
Norm:  tensor(2.9708, device='cuda:2')
Round:  0 User: 157 Train Loss: 9.523
Norm:  tensor(3.1506, device='cuda:2')
Round:  0 User: 158 Train Loss: 9.477
Norm:  tensor(3.0068, device='cuda:2')
Round:  0 User: 159 Train Loss: 9.546
Norm:  tensor(2.8953, device='cuda:2')
Round:  0 User: 160 Train Loss: 9.479
Norm:  tensor(2.8253, device='cuda:2')
Round:  0 User: 161 Train Loss: 9.352
Norm:  tensor(2.8730, device='cuda:2')
Round:  0 User: 162 Train Loss: 9.548
Norm:  tensor(2.6950, device='cuda:2')
Round:  0 User: 163 Train Loss: 9.628
Norm:  tensor(2.8429, device='cuda:2')
Round:  0 User: 164 Train Loss: 9.572
Norm:  tensor(2.8587, device='cuda:2')
Round:  0 User: 165 Train Loss: 9.444
Norm:  tensor(2.8972, device='cuda:2')
Round:  0 User: 166 Train Loss: 9.547
Norm:  tensor(3.0592, device='cuda:2')
Round:  0 User: 167 Train Loss: 9.502
Norm:  tensor(2.9284, device='cuda:2')
Round:  0 User: 168 Train Loss: 9.625
Norm:  tensor(2.7780, device='cuda:2')
Round:  0 User: 169 Train Loss: 9.480
Norm:  tensor(2.9085, device='cuda:2')
Round:  0 User: 170 Train Loss: 9.418
Norm:  tensor(2.9346, device='cuda:2')
Round:  0 User: 171 Train Loss: 9.623
Norm:  tensor(2.9367, device='cuda:2')
Round:  0 User: 172 Train Loss: 9.544
Norm:  tensor(2.9062, device='cuda:2')
Round:  0 User: 173 Train Loss: 9.593
Norm:  tensor(3.0248, device='cuda:2')
Round:  0 User: 174 Train Loss: 9.414
Norm:  tensor(2.8677, device='cuda:2')
Round:  0 User: 175 Train Loss: 9.348
Norm:  tensor(2.9309, device='cuda:2')
Round:  0 User: 176 Train Loss: 9.456
Norm:  tensor(2.7268, device='cuda:2')
Round:  0 User: 177 Train Loss: 9.411
Norm:  tensor(2.9829, device='cuda:2')
Round:  0 User: 178 Train Loss: 9.488
Norm:  tensor(2.9098, device='cuda:2')
Round:  0 User: 179 Train Loss: 9.378
Norm:  tensor(3.0607, device='cuda:2')
Round:  0 User: 180 Train Loss: 9.397
Norm:  tensor(3.0469, device='cuda:2')
Round:  0 User: 181 Train Loss: 9.355
Norm:  tensor(2.8142, device='cuda:2')
Round:  0 User: 182 Train Loss: 9.455
Norm:  tensor(2.8804, device='cuda:2')
Round:  0 User: 183 Train Loss: 9.528
Norm:  tensor(2.9291, device='cuda:2')
Round:  0 User: 184 Train Loss: 9.343
Norm:  tensor(2.7264, device='cuda:2')
Round:  0 User: 185 Train Loss: 9.587
Norm:  tensor(2.8890, device='cuda:2')
Round:  0 User: 186 Train Loss: 9.522
Norm:  tensor(2.8263, device='cuda:2')
Round:  0 User: 187 Train Loss: 9.556
Norm:  tensor(2.7747, device='cuda:2')
Round:  0 User: 188 Train Loss: 9.564
Norm:  tensor(2.7972, device='cuda:2')
Round:  0 User: 189 Train Loss: 9.431
Norm:  tensor(2.8778, device='cuda:2')
Round:  0 User: 190 Train Loss: 9.457
Norm:  tensor(2.7290, device='cuda:2')
Round:  0 User: 191 Train Loss: 9.656
Norm:  tensor(2.8436, device='cuda:2')
Round:  0 User: 192 Train Loss: 9.515
Norm:  tensor(2.8024, device='cuda:2')
Round:  0 User: 193 Train Loss: 9.477
Norm:  tensor(2.8267, device='cuda:2')
Round:  0 User: 194 Train Loss: 9.403
Norm:  tensor(2.8681, device='cuda:2')
Round:  0 User: 195 Train Loss: 9.427
Norm:  tensor(2.9057, device='cuda:2')
Round:  0 User: 196 Train Loss: 9.358
Norm:  tensor(2.9623, device='cuda:2')
Round:  0 User: 197 Train Loss: 9.544
Norm:  tensor(2.6903, device='cuda:2')
Round:  0 User: 198 Train Loss: 9.563
Norm:  tensor(2.8691, device='cuda:2')
